0,0.057
51,0.058
101,0.048
152,0.043
202,0.045
253,0.045
304,0.053
355,0.061
406,0.060
458,0.051
508,0.061
559,0.040
610,0.063
662,0.051
713,0.036
764,0.076
815,0.064
866,0.057
917,0.056
968,0.053
1018,0.050
1069,0.045
1120,0.044
1170,0.042
1221,0.041
1272,0.047
1323,0.035
1373,0.061
1424,0.062
1475,0.046
1526,0.062
1577,0.063
1628,0.045
1678,0.051
1729,0.054
1780,0.069
1831,0.029
1881,0.054
1932,0.054
1983,0.047
2034,0.051
2085,0.057
2135,0.066
2186,0.054
2237,0.057
2287,0.062
2338,0.067
2389,0.054
2440,0.045
2491,0.055
2541,0.053
2592,0.047
2643,0.053
2694,0.065
2745,0.069
2796,0.024
2846,0.052
2897,0.059
2948,0.062
2999,0.051
3049,0.056
3100,0.051
3151,0.032
3201,0.045
3252,0.044
3302,0.054
3353,0.065
3404,0.058
3455,0.046
3505,0.045
3556,0.049
3607,0.056
3658,0.050
3708,0.045
3759,0.053
3809,0.048
3859,0.066
3910,0.060
3961,0.040
4012,0.031
4063,0.060
4114,0.038
4164,0.047
4215,0.054
4266,0.055
4317,0.057
4368,0.043
4418,0.042
4469,0.033
4520,0.043
4570,0.042
4621,0.057
4672,0.044
4723,0.058
4773,0.071
4824,0.039
4875,0.054
4926,0.041
4976,0.044
5027,0.050
5078,0.093
5129,0.119
5180,0.166
5231,0.193
5281,0.257
5333,0.243
5383,0.313
5434,0.306
5485,0.373
5536,0.363
5586,0.444
5637,0.467
5688,0.482
5738,0.543
5789,0.568
5840,0.623
5891,0.614
5942,0.654
5992,0.703
6043,0.748
6095,0.766
6145,0.783
6196,0.759
6247,0.661
6298,0.631
6350,0.622
6401,0.600
6452,0.645
6502,0.691
6553,0.749
6604,0.822
6655,0.814
6705,0.706
6756,0.663
6807,0.690
6858,0.587
6908,0.586
6959,0.723
7010,0.724
7061,0.778
7112,0.785
7162,0.819
7213,0.718
7264,0.658
7315,0.628
7365,0.575
7416,0.591
7467,0.680
7518,0.739
7570,0.778
7621,0.776
7671,0.746
7722,0.745
7773,0.703
7824,0.622
7874,0.584
7925,0.644
7976,0.696
8027,0.790
8078,0.784
8128,0.804
8179,0.762
8230,0.705
8281,0.688
8332,0.608
8383,0.569
8434,0.647
8484,0.650
8535,0.724
8586,0.773
8637,0.877
8687,0.786
8738,0.756
8789,0.684
8839,0.591
8890,0.576
8941,0.592
8992,0.682
9042,0.765
9093,0.812
9144,0.843
9195,0.779
9245,0.685
9296,0.669
9347,0.617
9398,0.590
9449,0.607
9500,0.699
9551,0.682
9602,0.810
9652,0.775
9703,0.760
9753,0.745
9804,0.707
9855,0.603
9906,0.596
9957,0.638
10008,0.688
10059,0.665
10110,0.691
10161,0.642
10212,0.619
10262,0.610
10313,0.595
10364,0.579
10415,0.578
10466,0.526
10517,0.536
10568,0.507
10618,0.517
10669,0.517
10720,0.472
10771,0.461
10821,0.451
10872,0.432
10923,0.399
10974,0.378
11025,0.362
11076,0.317
11127,0.297
11177,0.331
11228,0.331
11279,0.290
11330,0.235
11380,0.260
11431,0.266
11482,0.194
11533,0.234
11584,0.178
11634,0.165
11685,0.173
11736,0.122
11787,0.075
11838,0.094
11889,0.083
11940,0.049
11991,0.036
12042,0.033
12093,0.056
12144,0.053
12195,0.059
12246,0.054
12297,0.044
12348,0.044
12399,0.049
12450,0.059
12500,0.042
12551,0.052
12602,0.053
12653,0.061
12704,0.065
12755,0.061
12806,0.053
12857,0.058
12908,0.061
12958,0.053
13009,0.057
13060,0.053
13111,0.032
13162,0.033
13213,0.050
13263,0.035
13314,0.037
13364,0.059
13415,0.046
13466,0.045
13516,0.052
13567,0.058
13618,0.040
13669,0.029
13720,0.067
13771,0.040
13823,0.056
13873,0.056
13924,0.050
13975,0.057
14026,0.037
14078,0.056
14129,0.047
14181,0.030
14231,0.061
14282,0.045
14333,0.027
14384,0.045
14435,0.058
14486,0.052
14537,0.065
14587,0.052
14638,0.062
14689,0.066
14740,0.042
14790,0.058
14841,0.033
14892,0.052
14942,0.052
14993,0.042
15044,0.051
15095,0.037
15146,0.061
15196,0.054
15247,0.047
15298,0.045
15349,0.050
15400,0.049
15451,0.058
15502,0.047
15553,0.038
15604,0.057
15655,0.038
15705,0.045
15756,0.061
